
#COORD
GEO

#START
YAK  61.960 129.660
WIC  47.930  15.861
TDC -37.067 347.685
SPG  60.542  29.716
SHE -15.961 354.253
SBL  43.932 299.991
PIL -31.667 296.119
PET  52.971 158.248
PAG  42.515  24.177
MGD  60.050 150.730
KMH -26.541  18.110
KNB  47.610 134.690
KEP -54.282 323.507
JCO  70.356 211.201
IZN  40.500  29.720
IPM -27.171 250.590
GAN  -0.695  73.154
GNG -31.356 115.715
DLT  11.945 108.482
CPL  17.293  78.920
CKI -12.19 96.83
ARS 56.43 58.567
DED 70.36 211.21
BRD 49.87 260.3
NVL -70.80 11.80
MIR -66.6 93.0
TAB 76.54  291.18
SUM 72.30  321.7
HOV 61.51  353.21
ROE 55.17  8.55
TOP 56.09  13.72
BFO 48.33  8.33
HUS 64.67  -21.03
TJO 66.20  -17.12
SYO -69.00 39.58
NAN 56.40  298.30
PGG 66.10  294.20
CRV 70.50  291.40
CDR 64.20  283.40
IGL 69.30  278.20
CHB 64.19  276.065
RBY 66.52  273.77
GJO 68.63  264.15
PG0 -83.67 88.68
PG1 -84.50 77.20
PG2 -84.42 57.96
PG3 -84.81 37.63
PG4 -83.34 12.25
PG5 -81.96 5.71
ZHO -69.37 76.38
YWR 78.90  11.90
TAI -73.85 76.97
KUN -80.37 77.54
M89 -86.51  68.17
M88 -88.02 316.13
M87 -87.00  28.41
M86 -85.39  95.97
M85 -85.36 2.06
M84 -84.36 336.15
M83 -82.90 347.57
M82 -81.50 3.00
M81 -80.89 337.75
M79 -79.68 335.88
M78 -77.52 336.58
HBA -75.60 333.70
AG1 -83.86 129.61
AG2 -85.67 313.62
AG3 -82.50 30.00
AG4 -82.01 96.76
AG5 -77.23 123.51
JBS -74.61 164.23
KSJ -62.22 301.22
VNA -70.40 351.70
ISR 78.04  13.38
VOS -78.46 106.84
DMC -75.25 124.17
DAV -68.57 77.97
CAS -66.27 110.52
MAC -54.50 158.95
NOR 71.09 25.79	
ALT 69.86 22.96
AND 69.30 16.03	
KAU 69.02 23.05
IVA 68.56 27.29	
LEK 68.13 13.54
LOZ 67.97 35.08	
RST 67.52 12.09	
SOD 67.37 26.63	
JCK 66.40 16.98	
DON 66.11 12.50	
RVK 64.94 10.98	
MEK 62.77 30.97	
SOL 61.08 4.84 	
HAR 60.21 10.71	
KAR 59.21 5.24 	
BRZ 56.17 24.86	
SUW 54.01 23.18	
PPN 51.45 23.13	
LYC 64.61 18.75
TOR 56.11 13.74
LYR 78.20 15.82
HOR 77.00 15.60
HOP 76.51 25.01
SOR 70.54 22.22
KEV 69.76 27.01
NAL 78.92 11.95
MAS 69.46 23.70
KIL 69.06 20.77
MUO 68.02 23.53
PEL 66.90 24.08
RAN 65.90 26.41
OUJ 64.52 27.23
HAN 62.25 26.60
TAR 58.26 26.46
A09 14.58 120.0
TIR 8.48 76.95
HYB 17.4 78.6
JAI 26.92 75.8
BOX 58.03 38.97
HBK -25.88 27.71
SIT 57.07 224.67
BFE 55.62 11.67
BOU 40.13 254.77
CCS 77.72 104.28
DRV -66.67 140.01
LIV -62.66 299.61
NAQ 61.16 314.56
GHB 64.17 308.27
TIK 71.58 129.0
BGY 31.72 35.09
SPT 39.55 355.65
KUV 74.57 302.82
SAS 52.8 253.6
TAM 22.79 5.53
TAN -18.92 47.55
THY 46.9 17.54
PPT -17.57 210.42
HAD 50.98 355.52
HRN 77.0 15.6
KNZ 55.83 48.85
KNY 31.42 130.88
BNG 4.33 18.57
SVS 76.02 294.9
HRB 47.86 18.19
VIC 48.52 236.58
T38 61.0 224.8
MAW -67.61 62.88
KAK 36.23 140.18
KIR 67.84 20.42
SFS 36.67 354.06
B21 -87.0 28.41
B20 -85.36 95.98
API -13.8 188.22
KAV 70.07 216.63
B15 -81.49 2.97
PHU 21.03 105.95
CMO 64.87 212.14
YKC 62.47 245.53
GUA 13.59 144.87
FUR 48.17 11.28
PAF -49.35 70.26
BEL 51.83 20.8
DMH 76.77 341.37
GUI 28.32 343.57
NGK 52.07 12.68
T15 46.24 275.66
EYR -43.4 172.4
T17 44.95 287.87
T37 53.8 237.2
TSU -19.22 17.7
T18 46.09 259.32
T19 47.61 245.33
BET 66.9 208.32
TRW -43.25 294.68
PKR 65.08 212.74
AMK 65.6 322.37
WNG 53.75 9.07
VLO 48.19 282.24
MAB 50.3 5.68
B18 -84.35 336.14
BMT 40.3 116.2
AMS -37.8 77.57
B19 -85.36 2.06
ROT 51.07 245.87
UPN 72.78 303.85
HOM 59.7 209.53
PBQ 55.3 282.25
SHU 55.35 199.54
TRO 69.66 18.94
GCK 44.63 20.77
NCK 47.63 16.72
DLR 29.49 259.08
BDV 49.07 14.02
CSY -66.28 110.53
B07 -70.7 44.28
B09 -74.01 42.99
TRP 62.67 150.24
T23 43.66 274.86
T22 56.83 226.84
T25 45.14 241.07
UPS 59.9 17.35
BLC 64.33 263.97
CBB 69.1 255.0
HUA -12.05 284.67
NVS 55.03 82.9
M01 46.87 263.55
GZH 23.09 113.34
NOK 69.4 88.1
CBI 27.15 142.3
LRM -22.22 114.1
CZT -46.43 51.87
HLP 54.61 18.82
LZH 36.09 103.85
HLM 61.24 210.13
LRV 64.18 338.3
B05 -69.29 41.32
HTY 33.12 139.8
UMQ 70.68 307.87
SUA 45.32 26.25
SKT 65.42 307.1
DOB 62.07 9.11
RES 74.7 265.1
T21 43.08 257.41
B16 -82.78 347.06
B17 -82.9 347.76
B14 -80.89 337.74
ATU 67.93 306.43
B12 -79.08 335.88
CTA -20.1 146.3
B10 -77.32 39.71
B11 -77.51 336.58
NEW 48.27 242.88
RED 52.14 246.16
DOU 50.1 4.6
ASC -7.95 345.62
ASP -23.77 133.88
TEO 19.75 260.82
T20 40.18 281.62
NUR 60.5 24.65
T24 44.78 271.4
BSL 30.35 270.37
FCC 58.76 265.92
PBK 70.1 170.9
KDU -12.69 132.47
HER -34.43 19.23
DNB 74.3 339.78
CLF 48.02 2.27
FRN 37.1 240.3
SPA -90.0 0.0
SJG 18.11 293.85
ELT 29.67 34.95
MEA 54.62 246.67
BRW 71.3 203.25
BJN 74.5 19.2
T40 63.0 204.4
