File created on 2024-09-28T21:27:54.936221
Source data: ac_h0s_mfi_20011021000009_20011023115953.cdfBallistically propagted from L1 to upstream BATS-R-US boundaryFile created on 2024-09-28 21:27:54.936139#COOR
GSM


#START
2001 10 21 00 55 22 212        3.05       7.06      -1.25    -368.67     -54.52      -9.46       4.96   27043.50
2001 10 21 00 57 15 717        2.37       7.36      -0.30    -363.16     -57.47     -15.84       5.98   22342.60
2001 10 21 00 59 11 478        0.57       7.69      -0.95    -357.58     -53.41     -18.29       5.19   19882.20
2001 10 21 01 01 44 956        2.42       6.48       3.59    -348.32     -47.43     -11.92       3.86   32720.60
2001 10 21 01 02 56 781        1.27       7.64       0.47    -354.07     -55.17     -11.02       5.05   30372.60
2001 10 21 01 03 21 582        1.60       7.70       0.81    -358.20     -49.84     -16.63       4.68   26967.90
2001 10 21 01 04 47 573        1.20       7.79       0.97    -355.88     -54.31     -15.36       5.38   24915.60
2001 10 21 01 04 51 568        2.15       7.69       0.82    -362.30     -46.60     -12.61       3.93   25295.40
2001 10 21 01 06 29 369        1.88       7.76       0.80    -358.65     -47.61     -13.52       4.83   26643.60
2001 10 21 01 06 54 959        1.99       7.80       0.79    -362.80     -47.65     -11.36       4.59   28107.30
2001 10 21 01 07 57 871        3.57       7.14       0.09    -362.92     -54.51      -7.53       5.49   31196.90
2001 10 21 01 09 00 064        3.48       7.26       0.23    -363.12     -54.78      -5.40       5.29   30757.60
2001 10 21 01 10 02 262        3.32       7.30      -0.06    -363.32     -55.06      -3.26       5.09   30318.30
2001 10 21 01 11 20 170        2.91       7.36      -0.79    -361.80     -52.87      -6.31       5.38   25783.10
2001 10 21 01 12 30 869        2.46       7.43      -1.67    -361.07     -52.23      -8.05       5.14   31864.40
2001 10 21 01 13 47 892        2.65       7.54      -0.84    -359.67     -51.63     -11.80       6.91   41833.40
2001 10 21 01 14 05 574        3.52       7.13       0.76    -364.71     -54.26     -14.68       6.32   30010.70
2001 10 21 01 15 35 730        1.62       7.43      -2.75    -368.95     -43.19      -9.41       5.10   37167.17
2001 10 21 01 17 40 316       -1.10       7.86      -1.14    -362.22     -43.23      -7.89       4.43   35293.23
2001 10 21 01 19 47 193        0.82       8.04      -0.66    -355.49     -43.27      -6.36       3.77   33419.30
2001 10 21 01 20 05 086        1.36       7.70      -2.17    -360.40     -46.78      -0.98       3.98   29866.00
2001 10 21 01 22 25 464        0.44       8.12      -1.19    -352.34     -42.64      -4.99       3.83   33558.90
2001 10 21 01 23 30 654        0.56       8.13      -0.90    -352.22     -44.21      -4.96       3.98   32808.70
