File created on 2020-09-28T11:58:30.746873
#COOR
GSM


#START
2012 10 08 00 00 00 000       -2.49       6.04      -5.43    -324.40     -20.76       6.49       5.00   30833.00
2012 10 08 00 01 00 000       -2.64       5.96      -5.53    -327.80     -17.07       1.71       5.75   42765.00
2012 10 08 00 02 00 000       -2.66       6.09      -5.36    -324.80     -26.43       1.27       4.25   19538.00
2012 10 08 00 03 00 000       -2.69       5.65      -5.65    -323.40     -22.33       4.21       5.66   32139.00
2012 10 08 00 04 00 000       -3.09       5.54      -5.61    -321.70     -16.42       0.54       5.28   28882.00
2012 10 08 00 05 00 000       -2.71       6.01      -5.27    -322.80     -22.27       0.61       4.70   27594.00
2012 10 08 00 06 00 000       -2.45       5.94      -5.65    -320.50     -26.05       0.70       5.10   27729.00
2012 10 08 00 07 00 000       -2.29       5.98      -5.73    -324.50     -32.61      -3.89       3.95   17310.00
2012 10 08 00 08 00 000       -2.12       5.51      -6.12    -325.00     -34.47      -5.19       4.33   19927.00
2012 10 08 00 09 00 000       -3.33       6.26      -4.76    -323.90     -36.01      -6.04       5.74   30167.00
2012 10 08 00 10 00 000       -3.70       5.99      -4.92    -323.90     -36.01      -6.03       5.74   30167.00
2012 10 08 00 11 00 000       -4.07       5.72      -5.07    -311.80     -26.99      -1.00       4.96   28044.00
2012 10 08 00 12 00 000       -4.07       5.72      -5.07    -311.80     -26.99      -0.99       4.96   28044.00
2012 10 08 00 13 00 000       -3.79       5.61      -5.39    -311.80     -26.99      -0.98       4.96   28044.00
2012 10 08 00 14 00 000       -3.35       5.60      -5.51    -315.75     -26.86      -0.44       5.14   27253.50
2012 10 08 00 15 00 000       -2.81       5.62      -5.55    -319.70     -26.73       0.10       5.31   26463.00
2012 10 08 00 16 00 000       -2.40       6.15      -5.22    -323.65     -26.60       0.65       5.49   25672.50
2012 10 08 00 17 00 000       -2.39       5.85      -5.54    -327.60     -26.47       1.19       5.67   24882.00
2012 10 08 00 18 00 000       -2.41       6.12      -5.07    -327.60     -26.47       1.20       5.67   24882.00
2012 10 08 00 19 00 000       -1.14       6.73      -5.01    -323.88     -24.74       3.10       5.28   23737.75
2012 10 08 00 20 00 000       -4.17       4.53      -5.87    -320.15     -23.02       5.00       4.90   22593.50
2012 10 08 00 21 00 000       -4.42       4.92      -5.30    -316.43     -21.29       6.91       4.51   21449.25
2012 10 08 00 22 00 000       -3.73       5.13      -5.71    -312.70     -19.57       8.81       4.12   20305.00
2012 10 08 00 23 00 000       -4.21       5.14      -5.30    -312.70     -19.56       8.81       4.12   20305.00
2012 10 08 00 24 00 000       -3.66       5.84      -5.10    -312.70     -19.56       8.82       4.12   20305.00
2012 10 08 00 25 00 000       -3.89       5.45      -5.40    -313.36     -19.70       8.00       4.35   22656.00
2012 10 08 00 26 00 000       -4.12       5.66      -5.12    -314.02     -19.84       7.17       4.58   25007.00
2012 10 08 00 27 00 000       -4.06       5.49      -5.39    -314.68     -19.98       6.35       4.81   27358.00
2012 10 08 00 28 00 000       -3.89       5.32      -5.70    -315.34     -20.12       5.53       5.04   29709.00
2012 10 08 00 29 00 000       -3.77       5.34      -5.68    -316.00     -20.26       4.70       5.27   32060.00
2012 10 08 00 30 00 000       -3.68       5.51      -5.57    -316.00     -20.26       4.71       5.27   32060.00
2012 10 08 00 31 00 000       -3.83       5.28      -5.66    -316.00     -20.26       4.72       5.27   32060.00
2012 10 08 00 32 00 000       -3.80       5.42      -5.48    -316.30     -19.45       4.80       5.13   30233.00
2012 10 08 00 33 00 000       -4.00       5.03      -5.72    -316.60     -18.64       4.88       4.99   28406.00
2012 10 08 00 34 00 000       -3.71       5.07      -5.89    -316.90     -17.83       4.96       4.85   26579.00
2012 10 08 00 35 00 000       -4.00       5.27      -5.52    -316.90     -17.83       4.96       4.85   26579.00
2012 10 08 00 36 00 000       -3.89       5.58      -5.36    -316.90     -17.83       4.97       4.85   26579.00
2012 10 08 00 37 00 000       -4.12       5.30      -5.38    -316.67     -17.07       5.24       4.96   28390.83
2012 10 08 00 38 00 000       -4.19       5.13      -5.44    -316.43     -16.32       5.50       5.07   30202.67
2012 10 08 00 39 00 000       -3.59       4.77      -6.15    -316.20     -15.56       5.76       5.18   32014.50
2012 10 08 00 40 00 000       -3.96       4.99      -5.86    -315.97     -14.81       6.03       5.29   33826.33
2012 10 08 00 41 00 000       -4.07       4.71      -5.87    -315.73     -14.06       6.29       5.40   35638.17
2012 10 08 00 42 00 000       -3.83       4.90      -6.03    -315.50     -13.30       6.55       5.51   37450.00
2012 10 08 00 43 00 000       -3.79       4.70      -6.09    -315.70     -13.35       6.78       5.46   36932.00
2012 10 08 00 44 00 000       -3.40       4.39      -6.63    -320.10     -14.16      11.32       4.49   25392.00
2012 10 08 00 45 00 000       -3.10       4.99      -6.25    -320.20     -14.13      11.42       4.47   25178.00
2012 10 08 00 46 00 000       -3.25       5.09      -6.08    -318.33     -15.32       8.19       4.56   25659.00
2012 10 08 00 47 00 000       -3.39       5.19      -5.92    -316.47     -16.52       4.96       4.66   26140.00
2012 10 08 00 48 00 000       -3.64       4.81      -6.26    -314.60     -17.72       1.73       4.75   26621.00
2012 10 08 00 49 00 000       -3.56       4.93      -6.19    -317.60     -15.16      -1.19       4.40   24524.00
2012 10 08 00 50 00 000       -3.58       4.95      -6.07    -315.80     -21.54       3.75       4.91   28802.00
2012 10 08 00 51 00 000       -4.44       3.88      -6.17    -313.40     -20.46       5.96       4.58   24020.00
2012 10 08 00 52 00 000       -2.99       5.07      -6.38    -322.30     -26.12       7.63       5.30   31403.00
2012 10 08 00 53 00 000       -3.32       4.99      -6.28    -321.50     -25.70       5.67       5.84   37413.00
2012 10 08 00 54 00 000       -3.66       4.87      -6.01    -318.30     -22.30       2.02       5.17   28180.00
2012 10 08 00 55 00 000       -3.75       4.81      -6.00    -314.70     -21.94       1.83       5.37   31085.00
2012 10 08 00 56 00 000       -3.39       5.15      -5.91    -305.40     -15.99      -1.55       5.89   35955.00
2012 10 08 00 57 00 000       -3.36       5.71      -5.44    -318.90     -28.68      -1.05       5.85   40708.00
2012 10 08 00 58 00 000       -3.65       5.30      -5.58    -324.40     -40.91      -2.83       7.66   66474.00
2012 10 08 00 59 00 000       -3.21       5.79      -5.34    -327.10     -46.37      -2.74       8.47   76116.00
2012 10 08 01 00 00 000       -3.02       5.20      -5.49    -331.50     -29.98      -5.64       6.75   53835.00
2012 10 08 01 01 00 000       -4.21       4.71      -5.50    -323.60     -28.37      -4.18       5.66   39271.00
2012 10 08 01 02 00 000       -2.33       5.91      -5.84    -314.00     -26.36      -2.42       4.33   21384.00
2012 10 08 01 03 00 000       -2.80       5.74      -5.68    -325.40     -23.52       7.29       5.03   25949.00
2012 10 08 01 04 00 000       -3.05       4.88      -5.95    -324.70     -19.88      -1.72       5.24   27047.00
2012 10 08 01 05 00 000       -3.37       5.42      -5.69    -315.70     -25.42      -6.67       5.07   25425.00
2012 10 08 01 06 00 000       -2.74       5.65      -5.85    -317.50     -32.74      -5.77       4.94   24068.00
2012 10 08 01 07 00 000       -4.93       3.86      -5.78    -304.80     -26.41       0.23       3.67   16411.00
2012 10 08 01 08 00 000       -4.50       3.51      -6.31    -304.80     -26.41       0.24       3.67   16411.00
2012 10 08 01 09 00 000       -4.84       4.33      -5.53    -304.80     -26.41       0.26       3.67   16411.00
2012 10 08 01 10 00 000       -4.34       4.28      -5.83    -324.00     -28.11       2.06       4.57   20143.00
2012 10 08 01 11 00 000       -3.53       5.13      -5.90    -322.60     -28.23       0.04       4.58   20442.00
2012 10 08 01 12 00 000       -2.89       5.04      -6.42    -323.80     -26.51       3.42       4.60   22458.00
